timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-06-11T09:40:19.647,,,0,,0,0,1600,,,
2026-06-11T09:40:20.156,0.932,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:20.651,0.9319,22.57,1,0.005366,0,0,1600,,,
2026-06-11T09:40:21.153,0.9319,22.56,1,0.005407,0,0,1600,,,
2026-06-11T09:40:21.648,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:22.158,0.9319,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:22.654,0.9318,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:23.145,0.9319,22.57,2,0.005447,0,0,1600,,,
2026-06-11T09:40:23.651,0.9319,22.57,1,0.005366,0,0,1600,,,
2026-06-11T09:40:24.150,0.9318,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:24.657,0.9319,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:25.144,0.9318,22.57,2,0.005447,0,0,1600,,,
2026-06-11T09:40:25.651,0.932,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:26.152,0.9319,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:26.653,0.9319,22.57,2,0.005366,0,0,1600,,,
2026-06-11T09:40:27.155,0.9319,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:27.651,0.9319,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:28.158,0.9319,22.57,2,0.005447,0,0,1600,,,
2026-06-11T09:40:28.649,0.9319,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:29.155,0.9319,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:29.651,0.9319,22.57,1,0.005488,0,0,1600,,,
2026-06-11T09:40:30.154,0.932,22.57,2,0.005447,0,0,1600,,,
2026-06-11T09:40:30.646,0.9319,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:31.150,0.932,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:31.643,0.9319,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:32.146,0.932,22.57,1,0.005366,0,0,1600,,,
2026-06-11T09:40:32.651,0.932,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:33.156,0.932,22.57,2,0.005447,0,0,1600,,,
2026-06-11T09:40:33.653,0.932,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:34.147,0.932,22.57,2,0.005447,0,0,1600,,,
2026-06-11T09:40:34.658,0.9319,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:35.156,0.932,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:35.653,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:36.147,0.932,22.57,1,0.005488,0,0,1600,,,
2026-06-11T09:40:36.652,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:37.154,0.932,22.57,1,0.005287,0,0,1600,,,
2026-06-11T09:40:37.643,,,0,0.005447,0,0,1600,,,
2026-06-11T09:40:38.150,,,0,0.005447,0,0,1600,,,
2026-06-11T09:40:38.650,,,0,0.005366,0,0,1600,,,
2026-06-11T09:40:39.158,,,0,0.005407,0,0,1600,,,
2026-06-11T09:40:39.646,,,0,0.005366,0,0,1600,,,
2026-06-11T09:40:40.154,,,0,0.005407,0,0,1600,,,
2026-06-11T09:40:40.654,,,0,0.005407,0,0,1600,,,
2026-06-11T09:40:41.147,,,0,0.005407,0,0,1600,,,
2026-06-11T09:40:41.651,,,0,0.005447,0,0,1600,,,
2026-06-11T09:40:42.153,,,0,0.005407,0,0,1600,,,
2026-06-11T09:40:42.653,,,0,0.005488,0,0,1600,,,
2026-06-11T09:40:43.151,0.9319,22.53,1,0.005488,0,0,1600,,,
2026-06-11T09:40:43.653,0.932,22.53,1,0.005407,0,0,1600,,,
2026-06-11T09:40:44.162,0.932,22.54,1,0.005407,0,0,1600,,,
2026-06-11T09:40:44.655,0.932,22.55,2,0.005366,0,0,1600,,,
2026-06-11T09:40:45.158,0.932,22.56,1,0.005366,0,0,1600,,,
2026-06-11T09:40:45.651,0.932,22.56,1,0.005447,0,0,1600,,,
2026-06-11T09:40:46.157,0.932,22.56,1,0.005407,0,0,1600,,,
2026-06-11T09:40:46.657,0.932,22.56,2,0.005407,0,0,1600,,,
2026-06-11T09:40:47.157,0.932,22.56,1,0.005447,0,0,1600,,,
2026-06-11T09:40:47.663,0.932,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:48.158,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:48.647,0.932,22.57,1,0.005366,0,0,1600,,,
2026-06-11T09:40:49.153,0.932,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:49.651,0.932,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:50.145,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:50.649,0.932,22.57,1,0.005447,0,0,1600,,,
2026-06-11T09:40:51.158,0.932,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:51.652,0.932,22.57,2,0.005366,0,0,1600,,,
2026-06-11T09:40:52.149,0.932,22.58,1,0.005366,0,0,1600,,,
2026-06-11T09:40:52.659,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:53.158,0.932,22.57,1,0.005407,0,0,1600,,,
2026-06-11T09:40:53.645,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:54.159,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:54.651,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:55.149,0.932,22.57,2,0.005407,0,0,1600,,,
2026-06-11T09:40:55.656,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:56.158,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:56.655,0.9319,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:57.159,0.9319,22.58,2,0.005407,0,0,1600,,,
2026-06-11T09:40:57.655,0.932,22.58,1,0.005447,0,0,1600,,,
2026-06-11T09:40:58.151,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:58.654,0.932,22.58,2,0.005366,0,0,1600,,,
2026-06-11T09:40:59.156,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:40:59.651,0.932,22.58,1,0.005407,0,0,1600,,,
2026-06-11T09:41:00.153,0.9321,22.58,1,0.005247,0,0,1600,,,
2026-06-11T09:41:00.652,0.932,22.58,2,0.005287,0,0,1600,,,
2026-06-11T09:41:01.156,0.932,22.58,1,0.005247,0,0,1600,,,
2026-06-11T09:41:01.656,0.932,22.58,1,0.005287,0,0,1600,,,
2026-06-11T09:41:02.147,0.9321,22.58,2,0.005287,0,0,1600,,,
2026-06-11T09:41:02.645,0.932,22.58,1,0.005208,0,0,1600,,,
2026-06-11T09:41:03.155,0.932,22.58,1,0.005092,0,0,1600,,,
