timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-07-07T09:43:11.157,,,0,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:11.658,0.9566,20.34,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:12.169,0.955,20.33,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:12.664,0.953,20.34,1,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:13.159,0.9542,20.34,2,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:13.667,0.9571,20.34,1,5.28405145931351e-12,0,0,1600,,,
2026-07-07T09:43:14.162,0.9568,20.34,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:14.660,0.9543,20.34,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:15.159,0.9552,20.34,2,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:15.658,0.9549,20.34,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:16.174,0.956,20.34,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:16.670,0.9557,20.34,2,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:17.169,0.957,20.34,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:17.669,0.9598,20.34,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:18.167,0.9547,20.34,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:18.662,0.9548,20.34,2,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:19.161,0.9577,20.34,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:19.659,0.9575,20.34,1,5.323789924665072e-12,0,0,1600,,,
2026-07-07T09:43:20.172,0.9544,20.34,2,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:20.666,0.9565,20.34,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:21.147,0.9602,20.34,1,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:21.663,0.9536,20.34,2,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:22.160,0.9559,20.35,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:22.659,0.9561,20.34,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:23.159,0.9547,20.34,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:23.658,0.9581,20.34,2,5.323789924665072e-12,0,0,1600,,,
2026-07-07T09:43:24.170,0.9557,20.34,1,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:24.664,0.9525,20.35,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:25.162,0.9551,20.35,2,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:25.660,0.9584,20.35,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:26.160,0.9545,20.35,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:26.670,0.9542,20.35,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:27.161,0.955,20.35,2,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:27.660,0.955,20.35,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:28.157,0.9586,20.35,1,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:28.672,0.9538,20.35,2,5.28405145931351e-12,0,0,1600,,,
2026-07-07T09:43:29.159,0.9583,20.35,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:29.657,0.9523,20.35,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:30.152,0.9537,20.35,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:30.663,0.9558,20.35,2,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:31.160,0.9586,20.35,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:31.671,0.9529,20.35,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:32.168,0.955,20.35,2,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:32.664,0.9586,20.35,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:33.160,0.9574,20.35,1,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:33.661,0.9546,20.36,2,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:34.161,0.9594,20.35,1,5.128041745460836e-12,0,0,1600,,,
2026-07-07T09:43:34.659,0.9556,20.35,1,5.28405145931351e-12,0,0,1600,,,
2026-07-07T09:43:35.158,0.9578,20.36,1,5.166606946953014e-12,0,0,1600,,,
2026-07-07T09:43:35.671,0.9549,20.36,2,5.205462176264749e-12,0,0,1600,,,
2026-07-07T09:43:36.167,0.9545,20.36,1,5.244609614536902e-12,0,0,1600,,,
2026-07-07T09:43:36.663,0.957,20.36,1,5.244609614536902e-12,0,0,1600,,,
