timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-06-16T15:42:17.238,,,0,0.0,0,0,1600,,,
2026-06-16T15:42:17.739,3.572,24.84,1,0.0,0,0,1600,,,
2026-06-16T15:42:18.252,3.5721,24.84,1,0.0,0,0,1600,,,
2026-06-16T15:42:18.750,3.572,24.84,2,0.0,0,0,1600,,,
2026-06-16T15:42:19.249,3.572,24.84,1,0.0,0,0,1600,,,
2026-06-16T15:42:19.744,3.572,24.84,2,0.0,0,0,1600,,,
2026-06-16T15:42:20.240,3.5719,24.84,1,0.0,0,0,1600,,,
2026-06-16T15:42:20.741,3.572,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:21.240,3.572,24.84,2,0.0,0,0,1600,,,
2026-06-16T15:42:21.739,3.572,24.84,1,0.0,0,0,1600,,,
2026-06-16T15:42:22.250,3.572,24.84,2,0.0,0,0,1600,,,
2026-06-16T15:42:22.749,3.5719,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:23.248,3.5719,24.84,1,0.0,0,0,1600,,,
2026-06-16T15:42:23.745,3.5719,24.84,2,0.0,0,0,1600,,,
2026-06-16T15:42:24.245,3.5719,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:24.741,3.5718,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:25.253,3.5717,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:25.748,3.5718,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:26.244,3.5717,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:26.740,3.5718,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:27.252,3.5718,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:27.746,3.5718,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:28.244,3.5717,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:28.740,3.5718,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:29.251,3.5717,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:29.747,3.5717,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:30.239,3.5718,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:30.753,3.5717,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:31.235,3.5717,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:31.747,3.5717,24.83,2,0.0,0,0,1600,,,
2026-06-16T15:42:32.242,3.5715,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:32.739,3.5717,24.83,1,0.0,0,0,1600,,,
2026-06-16T15:42:33.250,3.5717,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:33.732,3.5716,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:34.247,3.5716,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:34.748,3.5716,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:35.246,3.5715,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:35.744,3.5715,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:36.243,3.5715,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:36.739,3.5716,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:37.239,3.5715,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:37.755,3.5715,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:38.252,3.5715,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:38.751,3.5715,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:39.248,3.5714,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:39.745,3.5715,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:40.239,3.5714,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:40.753,3.5714,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:41.249,3.5714,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:41.749,3.5714,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:42.247,3.5713,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:42.746,3.5713,24.82,2,0.0,0,0,1600,,,
2026-06-16T15:42:43.242,3.5712,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:43.741,3.5713,24.82,1,0.0,0,0,1600,,,
2026-06-16T15:42:44.254,3.5713,24.81,2,0.0,0,0,1600,,,
2026-06-16T15:42:44.751,3.5712,24.81,1,0.0,0,0,1600,,,
2026-06-16T15:42:45.248,3.5713,24.81,2,0.0,0,0,1600,,,
2026-06-16T15:42:45.741,3.5712,24.81,1,0.0,0,0,1600,,,
2026-06-16T15:42:46.239,3.5713,24.81,1,0.0,0,0,1600,,,
2026-06-16T15:42:46.751,3.5713,24.81,2,0.0,0,0,1600,,,
2026-06-16T15:42:47.231,3.5713,24.81,1,0.0,0,0,1600,,,
2026-06-16T15:42:47.743,3.5712,24.81,2,0.0,0,0,1600,,,
2026-06-16T15:42:48.239,3.5712,24.81,1,0.0,0,0,1600,,,
2026-06-16T15:42:48.750,3.5711,24.81,2,0.0,0,0,1600,,,
2026-06-16T15:42:49.247,3.5711,24.81,1,0.0,0,0,1600,,,
