timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us
2026-06-10T17:37:57.066,,,0,0.000143,0,0,1600
2026-06-10T17:37:57.564,0.9446,23.46,1,0.000142,0,0,1600
2026-06-10T17:37:58.074,0.9447,23.47,1,0.000143,0,0,1600
2026-06-10T17:37:58.573,0.9446,23.46,2,0.000143,0,0,1600
2026-06-10T17:37:59.070,0.9446,23.47,1,0.000144,0,0,1600
2026-06-10T17:37:59.562,0.9446,23.46,1,0.000144,0,0,1600
2026-06-10T17:38:00.054,0.9446,23.47,1,0.000142,0,0,1600
2026-06-10T17:38:00.575,0.9446,23.46,2,0.000145,0,0,1600
