timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-06-16T12:45:27.238,,,0,3e-06,0,0,1600,,,
2026-06-16T12:45:27.746,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:28.245,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:28.738,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:29.240,3.622,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:29.757,3.6221,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:30.241,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:30.748,3.622,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:31.244,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:31.739,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:32.244,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:32.740,3.622,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:33.249,3.6219,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:33.737,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:34.241,3.622,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:34.750,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:35.241,3.6219,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:35.743,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:36.246,3.622,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:36.737,3.6219,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:37.246,3.6219,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:37.749,3.6218,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:38.240,3.622,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:38.739,3.622,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:39.252,3.622,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:39.743,3.6219,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:40.245,3.6218,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:40.749,3.6219,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:41.237,3.6218,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:41.744,3.6218,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:42.249,3.6219,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:42.741,3.6218,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:43.239,3.6218,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:43.743,3.6219,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:44.236,3.6218,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:44.746,3.6218,25.36,2,3e-06,0,0,1600,,,
2026-06-16T12:45:45.237,3.6217,25.36,1,3e-06,0,0,1600,,,
2026-06-16T12:45:45.742,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:46.249,3.6217,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:46.748,3.6217,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:47.241,3.6217,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:47.741,3.6218,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:48.251,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:48.743,3.6217,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:49.250,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:49.739,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:50.247,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:50.739,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:51.241,3.6217,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:51.748,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:52.252,3.6218,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:52.736,3.6218,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:53.243,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:53.748,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:54.245,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:54.739,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:55.247,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:55.741,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:56.249,3.6217,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:56.749,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:57.251,3.6215,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:57.744,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:58.238,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:58.744,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:45:59.245,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:45:59.740,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:00.247,3.6216,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:00.748,3.6216,25.35,2,3e-06,0,0,1600,,,
2026-06-16T12:46:01.243,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:01.736,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:02.243,3.6216,25.34,2,3e-06,0,0,1600,,,
2026-06-16T12:46:02.745,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:03.236,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:03.737,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:04.239,3.6216,25.34,2,3e-06,0,0,1600,,,
2026-06-16T12:46:04.749,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:05.259,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:05.744,3.6214,25.34,2,3e-06,0,0,1600,,,
2026-06-16T12:46:06.234,3.6214,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:06.736,3.6215,25.34,1,3e-06,0,0,1600,,,
2026-06-16T12:46:07.244,3.6215,25.35,1,3e-06,0,0,1600,,,
2026-06-16T12:46:07.746,3.6214,25.34,2,0.000249,0,0,1600,,,
2026-06-16T12:46:08.237,3.6214,25.35,1,0.000252,0,0,1600,,,
2026-06-16T12:46:08.746,3.6215,25.34,1,0.000256,0,0,1600,,,
2026-06-16T12:46:09.249,3.6215,25.35,1,0.000264,0,0,1600,,,
2026-06-16T12:46:09.743,3.6215,25.34,2,0.00026,0,0,1600,,,
2026-06-16T12:46:10.233,3.6214,25.35,1,0.000264,0,0,1600,,,
2026-06-16T12:46:10.743,3.6215,25.34,1,0.000272,0,0,1600,,,
2026-06-16T12:46:11.237,3.6214,25.35,2,0.000272,0,0,1600,,,
2026-06-16T12:46:11.730,3.6214,25.35,1,0.000274,0,0,1600,,,
2026-06-16T12:46:12.238,3.6213,25.35,1,0.000276,0,0,1600,,,
2026-06-16T12:46:12.739,3.6214,25.35,1,0.000285,0,0,1600,,,
2026-06-16T12:46:13.249,3.6214,25.34,2,0.000282,0,0,1600,,,
2026-06-16T12:46:13.749,3.6214,25.34,1,0.000256,0,0,1600,,,
2026-06-16T12:46:14.251,3.6214,25.35,1,0.000175,0,0,1600,,,
2026-06-16T12:46:14.741,3.6214,25.34,2,3.5e-05,0,0,1600,,,
2026-06-16T12:46:15.236,3.6213,25.34,1,1.1e-05,0,0,1600,,,
2026-06-16T12:46:15.744,3.6214,25.34,1,6e-06,0,0,1600,,,
2026-06-16T12:46:16.254,3.6214,25.34,2,5e-06,0,0,1600,,,
2026-06-16T12:46:16.747,3.6213,25.34,1,5e-06,0,0,1600,,,
2026-06-16T12:46:17.240,3.6213,25.34,1,5e-06,0,0,1600,,,
2026-06-16T12:46:17.749,3.6213,25.34,1,4e-06,0,0,1600,,,
2026-06-16T12:46:18.240,3.6213,25.34,2,4e-06,0,0,1600,,,
2026-06-16T12:46:18.743,3.6212,25.34,1,4e-06,0,0,1600,,,
2026-06-16T12:46:19.244,3.6214,25.34,1,4e-06,0,0,1600,,,
2026-06-16T12:46:19.737,3.6214,25.34,2,4e-06,0,0,1600,,,
2026-06-16T12:46:20.244,3.6212,25.34,1,4e-06,0,0,1600,,,
