timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-06-15T10:43:42.021,,,0,0.00017,0,0,1600,,,
2026-06-15T10:43:42.532,0.9514,23.64,1,0.000167,0,0,1600,,,
2026-06-15T10:43:43.030,0.9515,23.64,1,0.000168,0,0,1600,,,
2026-06-15T10:43:43.524,0.9515,23.65,2,0.00017,0,0,1600,,,
2026-06-15T10:43:44.029,0.9514,23.64,1,0.00017,0,0,1600,,,
2026-06-15T10:43:44.526,0.9514,23.65,2,0.000168,0,0,1600,,,
2026-06-15T10:43:45.021,0.9514,23.65,1,0.000168,0,0,1600,,,
2026-06-15T10:43:45.529,0.9514,23.65,2,0.00017,0,0,1600,,,
2026-06-15T10:43:46.023,0.9515,23.65,1,0.000168,0,0,1600,,,
2026-06-15T10:43:46.520,0.9514,23.65,1,0.000168,0,0,1600,,,
2026-06-15T10:43:47.017,0.9514,23.65,2,0.00017,0,0,1600,,,
2026-06-15T10:43:47.529,0.9515,23.65,1,0.000171,0,0,1600,,,
2026-06-15T10:43:48.025,0.9514,23.65,2,0.00017,0,0,1600,,,
2026-06-15T10:43:48.521,0.9514,23.65,1,0.000168,0,0,1600,,,
2026-06-15T10:43:49.033,0.9515,23.65,1,0.000171,0,0,1600,,,
2026-06-15T10:43:49.533,0.9515,23.65,2,0.000171,0,0,1600,,,
2026-06-15T10:43:50.013,0.9514,23.65,1,0.000168,0,0,1600,,,
2026-06-15T10:43:50.526,0.9515,23.65,2,0.000167,1,1,1600,2026-06-15T10:43:50.217430,1600,1
2026-06-15T10:43:51.024,0.9514,23.65,1,0.00017,0,1,1600,,,
2026-06-15T10:43:51.507,0.9514,23.65,1,0.00017,0,1,1600,,,
2026-06-15T10:43:52.022,0.9515,23.65,2,0.00017,0,1,1600,,,
2026-06-15T10:43:52.519,0.9514,23.65,1,0.00017,0,1,1600,,,
2026-06-15T10:43:53.015,0.9514,23.65,2,0.000168,0,1,1600,,,
2026-06-15T10:43:53.528,0.9515,23.65,1,0.000167,0,1,1600,,,
2026-06-15T10:43:54.008,0.9515,23.65,1,0.000168,0,1,1600,,,
2026-06-15T10:43:54.536,0.9515,23.65,2,0.00017,0,1,1600,,,
2026-06-15T10:43:55.032,0.9514,23.65,1,0.000171,0,1,1600,,,
2026-06-15T10:43:55.527,0.9515,23.65,2,0.000171,0,1,1600,,,
2026-06-15T10:43:56.023,0.9515,23.65,1,0.000168,0,1,1600,,,
2026-06-15T10:43:56.519,0.9515,23.65,2,0.00017,0,1,1600,,,
2026-06-15T10:43:57.035,0.9514,23.65,1,0.000168,0,1,1600,,,
2026-06-15T10:43:57.533,0.9515,23.65,1,0.000167,0,1,1600,,,
2026-06-15T10:43:58.031,0.9514,23.65,2,0.00017,0,1,1600,,,
2026-06-15T10:43:58.515,0.9514,23.65,1,0.00017,0,1,1600,,,
2026-06-15T10:43:59.029,0.9515,23.65,1,0.000168,0,1,1600,,,
2026-06-15T10:43:59.526,0.9515,23.65,2,0.000168,0,1,1600,,,
2026-06-15T10:44:00.022,0.9515,23.66,1,0.000168,0,1,1600,,,
2026-06-15T10:44:00.534,0.9515,23.65,2,0.00017,0,1,1600,,,
2026-06-15T10:44:01.029,0.9514,23.65,1,0.000168,0,1,1600,,,
2026-06-15T10:44:01.510,0.9515,23.66,2,0.00017,0,1,1600,,,
2026-06-15T10:44:02.022,0.9514,23.66,1,0.000168,0,1,1600,,,
2026-06-15T10:44:02.516,0.9514,23.66,1,0.000168,0,1,1600,,,
2026-06-15T10:44:03.030,0.9515,23.65,2,0.00017,0,1,1600,,,
2026-06-15T10:44:03.525,0.9515,23.66,1,0.00017,0,1,1600,,,
2026-06-15T10:44:04.021,0.9515,23.66,2,0.00017,0,1,1600,,,
2026-06-15T10:44:04.517,0.9514,23.66,1,0.00017,0,1,1600,,,
2026-06-15T10:44:05.031,0.9515,23.66,2,0.000168,0,1,1600,,,
2026-06-15T10:44:05.526,0.9514,23.66,1,0.000168,1,2,1600,2026-06-15T10:44:05.365883,1600,1
2026-06-15T10:44:06.023,0.9515,23.66,1,0.000168,0,2,1600,,,
2026-06-15T10:44:06.519,0.9514,23.66,2,0.00017,0,2,1600,,,
2026-06-15T10:44:07.030,0.9515,23.66,1,0.000167,0,2,1600,,,
2026-06-15T10:44:07.512,0.9515,23.66,2,0.000168,1,3,1600,2026-06-15T10:44:07.412784,1600,1
