timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-06-16T11:35:55.179,,,0,3e-06,0,0,1600,,,
2026-06-16T11:35:55.690,0.9611,26.17,1,3e-06,0,0,1600,,,
2026-06-16T11:35:56.183,0.9612,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:35:56.675,0.9611,26.17,2,3e-06,0,0,1600,,,
2026-06-16T11:35:57.182,0.9611,26.17,1,3e-06,0,0,1600,,,
2026-06-16T11:35:57.687,0.9611,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:35:58.180,0.9611,26.17,1,3e-06,0,0,1600,,,
2026-06-16T11:35:58.688,0.9612,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:35:59.193,0.9611,26.17,2,3e-06,0,0,1600,,,
2026-06-16T11:35:59.686,0.9611,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:00.177,0.9611,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:00.684,0.9611,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:01.190,0.9612,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:01.680,0.9611,26.17,1,3e-06,0,0,1600,,,
2026-06-16T11:36:02.171,0.9612,26.17,1,3e-06,0,0,1600,,,
2026-06-16T11:36:02.694,0.9611,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:03.185,0.9611,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:03.678,0.9611,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:04.187,0.9611,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:04.679,0.9611,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:05.187,0.9612,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:05.677,0.9612,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:06.184,0.9612,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:06.676,0.9611,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:07.183,0.9612,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:07.692,0.9613,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:08.184,0.9612,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:08.690,0.9613,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:09.182,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:09.688,0.9613,26.18,1,3e-06,0,0,1600,,,
2026-06-16T11:36:10.179,0.9613,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:10.672,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:11.180,0.9612,26.18,2,3e-06,0,0,1600,,,
2026-06-16T11:36:11.686,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:12.194,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:12.684,0.9613,26.19,2,3e-06,0,0,1600,,,
2026-06-16T11:36:13.190,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:13.680,0.9613,26.19,2,3e-06,0,0,1600,,,
2026-06-16T11:36:14.173,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:14.679,0.9612,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:15.188,0.9613,26.19,2,3e-06,0,0,1600,,,
2026-06-16T11:36:15.693,0.9613,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:16.184,0.9613,26.19,2,3e-06,0,0,1600,,,
2026-06-16T11:36:16.674,0.9613,26.19,1,3e-06,0,0,1600,,,
2026-06-16T11:36:17.182,0.9613,26.19,2,3e-06,0,0,1600,,,
2026-06-16T11:36:17.674,0.9612,26.19,1,3e-06,0,0,1600,,,
