timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,pulses_interval,pulses_total,open_time_us,pulse_timestamps_us,pulse_open_times_us,pulse_acks
2026-06-15T13:03:06.466,,,0,3e-06,0,0,1600,,,
2026-06-15T13:03:06.972,0.9513,24.59,1,3e-06,0,0,1600,,,
2026-06-15T13:03:07.467,0.9512,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:07.981,0.9513,24.59,2,3e-06,0,0,1600,,,
2026-06-15T13:03:08.480,0.9513,24.59,1,3e-06,0,0,1600,,,
2026-06-15T13:03:08.980,0.9513,24.6,2,3e-06,0,0,1600,,,
2026-06-15T13:03:09.477,0.9512,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:09.978,0.9513,24.6,2,3e-06,0,0,1600,,,
2026-06-15T13:03:10.472,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:10.970,0.9513,24.59,1,3e-06,0,0,1600,,,
2026-06-15T13:03:11.467,0.9513,24.6,2,3e-06,0,0,1600,,,
2026-06-15T13:03:11.969,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:12.469,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:12.968,0.9513,24.6,2,3e-06,0,0,1600,,,
2026-06-15T13:03:13.480,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:13.967,0.9513,24.6,2,3e-06,0,0,1600,,,
2026-06-15T13:03:14.480,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:14.978,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:15.478,0.9513,24.6,2,3e-06,0,0,1600,,,
2026-06-15T13:03:15.979,0.9513,24.6,1,3e-06,0,0,1600,,,
2026-06-15T13:03:16.475,0.9513,24.59,2,3e-06,0,0,500,,,
2026-06-15T13:03:16.976,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:17.481,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:17.977,0.9513,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:18.476,0.9512,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:18.976,0.9514,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:19.473,0.9514,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:19.974,0.9514,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:20.469,0.9514,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:20.971,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:21.472,0.9513,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:21.968,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:22.469,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:22.981,0.9513,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:23.477,0.9514,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:23.978,0.9514,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:24.475,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:24.974,0.9513,24.61,2,3e-06,0,0,500,,,
2026-06-15T13:03:25.473,0.9514,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:25.972,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:26.474,0.9514,24.61,2,3e-06,0,0,500,,,
2026-06-15T13:03:26.977,0.9513,24.6,1,3e-06,0,0,500,,,
2026-06-15T13:03:27.476,0.9513,24.6,2,3e-06,0,0,500,,,
2026-06-15T13:03:27.979,0.9513,24.6,1,3e-06,0,0,500,,,
